stop_id,stop_name,stop_lat,stop_lon,location_type
33415,Návojná,49.10104333333334,18.044419722222223,0
33422,Domašov nad Bystřicí,49.74030305555556,17.44474027777778,0
33424,Háj ve Slezsku,49.901266388888885,18.092977777777776,0
33425,Břeclav,48.753769444444444,16.893024999999998,0
33432,Hrubá Voda-Smilov,49.69100666666667,17.443291944444443,0
33434,Jilešovice,49.896969722222224,18.142107222222222,0
33435,Brumov střed,49.08506305555556,18.025638055555554,0
33437,Březová nad Svitavou,49.63350138888889,16.520171388888887,0
33442,Jívová,49.71018111111111,17.442132222222224,0
33444,Lhota u Opavy,49.907204444444446,18.04696388888889,0
33447,Březová nad Svitavou-Dlouhá,49.65544388888889,16.508453888888887,0
33452,Drahanovice,49.58252,17.079915,0
33454,Havířov,49.79161444444444,18.41197722222222,0
